"USD #","District","County","Year","Students (FTE)","Classroom Teachers (CT)","Other Teachers","Managers","Other Non-Teachers","Total Employed","FTE Per CT","FTE Per Mgr"
"458","Basehor-Linwood","Leavenworth","2021","2819.4","140.5","40","26.89999986","128.5","335.8999999","20.06690391","104.8104095"
"470","Arkansas City","Cowley","2021","2670.4","170","5","37.5","173.1","385.6","15.70823529","71.21066667"
"204","Bonner Springs","Wyandotte","2021","2558.9","171.6999969","32.29999924","21","182","406.9999962","14.90332001","121.852381"
"469","Lansing","Leavenworth","2021","2540","136","38","24.8","153.8","352.6","18.67647059","102.4193548"
"203","Piper-Kansas City","Wyandotte","2021","2487.4","135.3000031","24.20000005","16","87.3","262.8000031","18.3843307","155.4625"
"418","McPherson","McPherson","2021","2297.4","145.6999969","59.59999847","21","264.900001","491.1999964","15.7680168","109.4"
"218","Elkhart","Morton","2021","2227.4","37","0.300000012","9.499999988","35.6","82.4","60.2","234.4631582"
"290","Ottawa","Franklin","2021","2208.7","162","19","18","156.4","355.4","13.63395062","122.7055556"
"313","Buhler","Reno","2021","2208","132.5999985","4.400000095","16.9","111.7000001","265.5999987","16.6515839","130.6508876"
"465","Winfield","Cowley","2021","2081","151.0000076","69.09999847","24","319.6","563.7000061","13.78145626","86.70833333"
"402","Augusta","Butler","2021","1983.6","134.3000031","2","15","101.5","252.8000031","14.76991776","132.24"
"375","Circle","Butler","2021","1892.5","121.7000027","0","18","137.3","277.0000027","15.55053376","105.1388889"
"446","Independence","Montgomery","2021","1892.5","120.5","4","18","153.5","296","15.70539419","105.1388889"
"464","Tonganoxie","Leavenworth","2021","1841.2","120.8999939","25","16","121.4","283.2999939","15.22911574","115.075"
"267","Renwick","Sedgwick","2021","1826.2","122.8000011","0","14","94.59999995","231.4000011","14.87133537","130.4428571"
"490","El Dorado","Butler","2021","1826.6","115.0999985","6","18.7","96.1999999","235.9999984","15.86967875","97.67914439"
"368","Paola","Miami","2021","1753.7","121","87","19","400.9999998","627.9999998","14.49338843","92.3"
"234","Fort Scott","Bourbon","2021","1750","135.6999969","15","30.6","111.5","292.7999969","12.89609462","57.18954248"
"263","Mulvane","Sedgwick","2021","1733","112.5","21.5","16","187.2","337.2","15.40444444","108.3125"
"413","Chanute","Neosho","2021","1706.4","113.5","0","15.5","86.7","215.7","15.03436123","110.0903226"
"445","Coffeyville","Montgomery","2021","1684","112.0000019","0","24.8","94.6","231.4000019","15.03571403","67.90322581"
"491","Eudora","Douglas","2021","1650.1","108","5","16.99999999","102.2","232.2","15.2787037","97.06470595"
"416","Louisburg","Miami","2021","1631","102","0","15","94","211","15.99019608","108.7333333"
"409","Atchison","Atchison","2021","1584.1","109","28","16","140.2","293.2","14.53302752","99.00625"
"394","Rose Hill","Butler","2021","1578.7","97","2","14.6","91","204.6","16.27525773","108.130137"
"214","Ulysses","Grant","2021","1544.3","102.4000063","1","14.5","86.3","204.2000063","15.08105376","106.5034483"
"320","Wamego","Pottawatomie","2021","1543.8","111.3000031","40.5","15.20000005","178.2999998","345.3000029","13.87061957","101.5657892"
"353","Wellington","Sumner","2021","1440.6","100","24","17","143.6","284.6","14.406","84.74117647"
"506","Labette County","Labette","2021","1439.3","104","0","16.5","67.6","188.1","13.83942308","87.23030303"
"207","Ft Leavenworth","Leavenworth","2021","1429.3","121","17","23","97.4","258.4","11.81239669","62.14347826"
"435","Abilene","Dickinson","2021","1411.6","93.30000305","3","13.69999999","66.10000008","176.1000031","15.12968868","103.0364964"
"379","Clay Center","Clay","2021","1289.5","92.50000334","32","15.29999995","128.9","268.7000033","13.94054004","84.28104601"
"348","Baldwin City","Douglas","2021","1267.9","85.6000061","2","11.5","58.20000001","157.3000061","14.81191483","110.2521739"
